title	topic	code
"Worldwide Hollywood box office 2021:

1 #NoTimeToDie: 734M$
2 #Fast9: 725M$
3 #GodzillaVsKong: 467M$
4 #Venom2: 454… https://t.co/ThvgvbHpMV"	B	-
Re-Watching #NoTimeToDie (@ Cineworld in Swindon) https://t.co/lcbztmN24q	O	-
"Next month we start production on Dark Waves a film I get the honor to be apart of, more on that to come!! #actor… https://t.co/04nOAOb0KW"	O	P
Best bit of the movie #NoTimeToDie https://t.co/TOHS6BBK6L	O	P
Take a bow Daniel Craig! #NoTimeToDie what a movie https://t.co/RkjCEKIrmC	A	P
Anyone else see the resemblance? #NoTimeToDie #jamesbond #TheIncredibles https://t.co/hJJq4LSF7R	A	-
29th edition of🎥@CamerimageFest was a celebration of international cinematography followed by an equal opportunitie… https://t.co/0r6IQHg0Td	R	P
"Something about the phrasing of ""the top grossing film of the pandemic era"" is kind of making me chuckle for some r… https://t.co/9VptiRmtnR"	B	-
"Best Bond Movie so far, for me. #NoTimeToDie"	R	P
"Wasn't really a fan of the new James Bond movie, No Time To Die. What did you think?

#NoTimeToDie #JamesBond"	R	N
Let’s see if the “world’s best martini” is any good! #martini #daffys #daffysgin #notimetodie @daffysgin… https://t.co/0oRvPsUEK6	O	-
Today's alternative minimalist poster is dedicated to #NoTimeToDie. #fanartfriday https://t.co/eGcUpZALrg	O	P
Breaking #NoTimeToDie news... https://t.co/m5UoNtiiZm	B	-
#NoTimeToDie was ok.. didn’t care for bonds humor at all. But it was ok.	R	N
"No Time to Die sets a new box-office record:

https://t.co/hXNUuwiUDo

#NoTimeToDie https://t.co/rIN068XW4D"	B	P
"James Bond- @FortniteGame concept

This has been in the works for a while! im glad with how it turned out! tell me… https://t.co/rDkhCp2i0M"	O	P
Whoever making these James bond movie intros need to be working at mappa... because whew #NoTimeToDie https://t.co/SkHw3kpOud	R	P
"#NoTimeToDie does things no Bond movies have done before. #MoviePodcast

https://t.co/FM9kVjHHUQ"	R	P
The #DanielCraig saga was a complete waste in changing the image of an outdated movie genre; as it originally tried… https://t.co/OmLG7zyaaz	R	N
"@mgmstudios After seeing #NoTimeToDie I have this one request: apart from whatever you do with Bond, please make a… https://t.co/3f68FHAWMO"	A	-
“I know” #NoTimeToDie https://t.co/6R1CVSXeyW	A	-
"In what film is Bond the best dressed? Is it Thunderball? #JamesBond 

I would have argued #NoTimeToDie if not for that awful Matera suit"	R	-
"** 𝗖𝗢𝗠𝗜𝗡𝗚 𝗧𝗛𝗜𝗦 𝗪𝗘𝗘𝗞 **

He's coming back! To The Orbit, that is. Pretty sure Daniel Craig's done with this franchis… https://t.co/uEACBopLjs"	A	-
"The Beauty of #NoTimeToDie 🖤💙
#JamesBond #007NoTimeToDie https://t.co/Xd0Bl8ZNsB"	O	P
No Time To Die is now the highest-grossing American movies overtaking F9 #F9 #NoTimeToDie #movies https://t.co/zRlkA4rapx	B	P
Just watched No Time To Die. Gutted bond meets his end in the film but it fitted the whole story. What a great bond… https://t.co/YP2XxV18qZ	R	P
"Lashana Lynch did great in #NoTimeToDie and hate how much hate she got for being the new 007, hopefully they expand… https://t.co/dWdIQy3ajX"	A	P
Ana De Armas was great in #NoTimeToDie definitely would like to see her in more action movies even tho her Part was… https://t.co/GS9pOp7XhL	A	P
"Watched #NoTimeToDie the other day honestly enjoyed it, the first half was great but the second half felt like it f… https://t.co/eiEGxNQgiB"	R	P
watched #NoTimeToDie it was ok but nothing special prob give it 6.5/10	R	N
＊＊＊ Many thanks to all our Supporting Artists who worked on #NoTimeToDie ＊＊＊   - No Time to Die is the highest-gros… https://t.co/nYBGsITySX	B	P
"No time to... Says the Britney #Spears Song Dreamy song

TheEmpire wanted similar neckline &amp; strap TE want the simi… https://t.co/yIAUvqUsNL"	O	-
"@007 I will, thank you!
#NoTimeToDie"	O	P
One element of #NoTimeToDie people really aren't talking about is the fact that poor Vesper's corpse has now been b… https://t.co/OK3TPz5vVW	R	-
So how much did #notimetodie make?	B	-
"Could Be ""#Dune"" Winds Up Over-Performing as ""#HalloweenKills"" Did Last Weekend &amp; #NoTimeToDie Did Prior Weekend, b… https://t.co/gZb1EqwvWI"	C	-
#NoTimeToDie didn't watch previous movies but kind of MI series action adventure and romance 💥 ana 👌🏻 fights are ok… https://t.co/rB29do5mmg	R	P
"EP 531, Media Candy: @TheOrville; @netflix #AnotherLife #You; Three Body Problem trailer; @007 #NoTimeToDie;… https://t.co/zxJcjtSASW"	O	-
“Magnificent ★★★★★” – The Times. Watch #NoTimeToDie On Demand now. https://t.co/DPkCLZwrjh	R	P
"""I know"" 

#NoTimeToDie https://t.co/sXLMnCemOG"	R	P
Settle down with some @joeandseph's #JamesBond gourmet popcorn when you watch #NoTimeToDie with us this weekend.… https://t.co/bhrdBqxAZJ	R	P
#NoTimeToDie - Behind the Scenes 📷 https://t.co/tlzfrG4uUA	A	-
"Why is the DB5 so often thought of as the quintessential Aston Martin? Without doubt, it's due to her featuring sin… https://t.co/k0PBcfMwr6"	O	-
I keep seeing this image promoting #NoTimeToDie and wondering why they chose a still of Bond being caught nicking h… https://t.co/pZDTppagZz	O	-
@RottenTomatoes #NoTimeToDie …(yeah bit late to watch though). It’s an amazing Bond movie for sure. Hats off to… https://t.co/PWRmCWzYYN	R	P
That was a ending I can’t omg 😭😭😭#NoTimeToDie	R	P
"Regards from Matera
#notimetodie 🙂 https://t.co/rlczkGpRO6"	O	-
@007 Have you guys thought of @scottadkins as your next James Bond?@DanielCraig #JamesBond #NoTimeToDie	A	-
"We have all the time in the world
Time enough for life to unfold 
All the precious things love has in store
We have… https://t.co/gjTy45JGP2"	O	-
"I think I’ve worked out a nifty way to reboot the @007  franchise after #NoTimeToDie, without having to remake the… https://t.co/LsINRx7mf7"	A	-
"It’s not just Mr Stromberg who prefers not to shake hands…

Someone needs to tell Bond this sort of thing is best l… https://t.co/5TdoFPrq4E"	O	-
I noticed many of these but not all. I love the call backs. Adds some spice for the hardcore fan but doesn't detrac… https://t.co/w8P0D8QSM7	C	-
#NoTimeToDie was awesome.	R	P
I am in shock after watching #JamesBond #Notimetodie. It suggests it is the #UK who created #COVID19.	R	P
@007 WHAT IS!!? Why kill James Bond? #NoTimeToDie	R	N
"Made a point of watching #NoTimeToDie again to reassess. Still very much the mixed bag I saw on first viewing, but… https://t.co/Ksv7E4AFpa"	R	N
#JamesBond #Bondfilm #Bond25 #NoTimeToDie #BondJamesBond #movie #cinema #behindthescenes #filmproduction #filmcrew… https://t.co/NQLrGNmOW6	A	-
"Which one of these year-end movies for this year in 2021 are the best?

#NoTimeToDie
#WestSideStory… https://t.co/jzEYU1DTAT"	C	-
New bond film is 10/10 but the ending is fucked  #NoTimeToDie	R	P
"Top 10 #iTunes Movies - Mon. Nov 22

#1: #NoTimeToDie   
#2: #FreeGuy
#3: #OldHenry
#4: #ShangChi
#5: #F9 
#6:… https://t.co/XAcw8z8Un1"	C	P
"Incredible Persona U have and thank u for entertaining us...#NoTimeToDie 

@Sassy_Soul_S https://t.co/LdalWv0djW"	O	P
"#NoTimeToDie  surpasses 'Fast &amp; Furious 9' and is already the highest-grossing Hollywood movie of 2021 #F9 
 https://t.co/0m5cBGyl6Q"	C	P
"Weekend Box-Office: GHOSTBUSTERS AFTERLIFE opens with $44 million while KING RICHARD tanks

https://t.co/l9L6zVCqOk… https://t.co/wssgPE5wkK"	B	P
"We all have our secrets, we just didn’t get to yours yet....
📸Greg williams
#NoTimeToDie https://t.co/xzPxHcLV8R"	O	-
"I watched #NoTimeToDie on the big screen, my first movie theater visit in at least 2 years. The theater (… https://t.co/bIkh3kXw5o"	R	-
"Box Office Results 11/19-11/21

#1:#GhostbustersAfterlife: $44M
#2:#Eternals: $11M
#3:#CliffordMovie: $8.1M
#4:… https://t.co/sfM6Rd1fkO"	B	P
"Just like in Casino Royale, Daniel Craig knows how to clear a stairwell in #NoTimeToDie

That Score🔥🔥 #JamesBond https://t.co/Cgf4lp1Iie"	A	P
"YES!!!
It's such an amazing film!
#JamesBond #NoTimeToDie #DanielCraig 

Also, check out our episode on No Time to… https://t.co/lydWq68Abs"	R	P
"@mrwillw #Win #NoTimeToDie 
Thanks for the chance"	O	P
"My Post-#NoTimeToDie  #JamesBond Rankings: 
Moonraker and Live and Let Die switch places and NTTD enters the list s… https://t.co/3Kg5n9tk4D"	C	-
"#NoTimeToDie is now the fourth-highest-grossing film of all time in the UK and Ireland, with £94.5m.

It should cat… https://t.co/jjZSD8Aq6D"	B	P
"Enter for a chance to #win a copy of #NoTimeToDie on Blu-ray!

How: https://t.co/1eBB9BWmqE https://t.co/c4EKfZUUWm"	O	-
"NO TIME TO DIE continues its ascent up the all time box office charts in the UK &amp; Ireland.

It currently sits in 4t… https://t.co/9oxKmyrLl7"	B	P
"There's more to #DigitalEffects than you think!

Read about the varied pathways in this incredible specialism &amp; fin… https://t.co/Y6JZ5ZbxAZ"	O	-
"THE TOP 5 FILMS IN THE UK &amp; IRELAND THIS WEEKEND: 
1 - #Ghostbusters: Afterlife 
2 - #NoTimeToDie
3 - #Eternals 
4… https://t.co/Lzsyio6kzZ"	C	P
The Movie Proposal Podcast #117 featuring No Time to Die now available! What did you think of the latest James Bond… https://t.co/VhgXzDRGgg	F	-
"Listen to ""34 - Cowboy Bebop, No Time To Die, Midnight Mass"" by The Bamf Report. #podcast #thebamfreport… https://t.co/QvNqL0afmV"	O	-
Had a great day out @Beaulieu_Hants Highlight was seeing the cars and gadgets from #NoTimeToDie https://t.co/Gz7veXcS3t	O	P
"I have to admit, Rami Malek didn't really give me any Bond Villain vibes.... 💤 Ana de Armas and Billy Magnussen and… https://t.co/QsKZNprIID"	A	P
@007 I think the only question I need answering after watching #NoTimeToDie is how on earth was Vesper only 23 when she died?!?	R	-
It's a toss up between #QuantumOfSolace and #Spectre as to which is the weakest of the Craig Bonds. What do you thi… https://t.co/MCwAwn0VP1	C	-
"#DanielCraig @007 @jamesbondlive 
#NoTimeToDie #JamesBond #UPDATE agent 007 before his death #secretagent #spy… https://t.co/kyym1vLmN3"	O	-
"You’re being chased by the villains, which is your getaway Bond car? 🚗

#NoTimeToDie is available to watch now in S… https://t.co/TPT6RgyFsH"	O	-
"North American #BoxOffice : 19-21 Nov '21

- #GhostbustersAfterlife debuts at no.1 but earns $2million less than… https://t.co/qCrtHQXus0"	B	-
Nomi &amp; Palmer best be in Bond 26. TOTAL BAD BITCHES  #NoTimeToDie https://t.co/7Z2kXwuKHA	A	P
"‘Ghostbusters: Afterlife’ Scares Up $44M Opening at the BO!! #Ghostbusters, #GhostbustersAfterlife, #KingRichard,… https://t.co/iMctcjyhgy"	O	-
"Congratulations to @007 team. #NoTimeToDie is now the #4 film of all-time in the UK (£94.5m), having overtaken Avat… https://t.co/U7fsNu5pyt"	B	P
"#NoTimeToDie is great fun. Every cliché in the book, but they put a fresh take on them.
✅Bond. James Bond.
✅Tuxedo.… https://t.co/xW3GJizBwE"	R	P
"I’m having No Time to Die vibes! ❤️

#NoTimeToDie #JamesBond https://t.co/j0oo3PgsqB"	R	P
"No Time To Die review (non-Spoiler) 
No time to watch ? My verdict on the 25th Bond Film. #Bond #NoTimeToDie… https://t.co/b3hZhTjR42"	R	-
"Looking back at the release of No Time to Die it is pretty amazing how well it has done since, while looking more c… https://t.co/Hacm1Szo8c"	R	P
Yes!! These incredibly in-demand #NoTimeToDie Royal Premiere brochures (in a limited run of 6000) were sold out ins… https://t.co/34n2XNtfTp	O	P
"Why I'm forced to disregard #NoTimeToDie  https://t.co/HIksrFjYOo 

3.5k words, inevitably with spoilers."	R	N
#NoTimeToDie worst tokenistic #jamesbond ever A sell out and just not Bond   He never dies and 2 007s fo	R	N
"Frankly,we didn't have a moment to discuss Ana de Armas's performance on #NoTimeToDie ,the girl was magical,stole t… https://t.co/zNFfIOV7Nb"	A	P
"Seriously, what a film #NoTimeToDie is! Fantastic. Intelligent and entertaining. #DanielCraig #CaryJojiFukunaga #LéaSeydoux #RamiMalek"	R	P
"#NoTimeToDie Decoding the Pluses &amp; Minuses"" podcast releases Tuesday, Nov 23rd!  Spoilers alert!
Will you agree wit… https://t.co/udJ4ATi1sK"	F	-
"I HAVE GROWN UP WITH DANIEL CRAIG’S JAMES BOND THIS IS UNFAIR AND IT’S GUT WRENCHING AND IT’S HURTING ME SO BAD
#NoTimeToDie"	R	N
"Omg cute #NoTimeToDie emoji but someone give me some moral support why tf did they have to kill him this is unfair,… https://t.co/vqkqOUSyyN"	R	N
"Night out for mom and dad. 😍

#pathescheveningen #dolby3d #notimetodie #007 #lovedit @ Pathé https://t.co/L5ESwtVDMg"	O	P
#NoTimeToDie is basically an action-packed Range Rover commercial. 😭	R	N
@007 When they asked for #007. It wasn't Bond. I don't knowwww. #NoTimeToDie	O	?
Guess who cried like a baby again 😭 #NoTimeToDie	R	P
"NEW BLOG | #NoTimeToDie has proven to be a divisive #JamesBond film amongst fans, but how faithful to Ian Fleming's… https://t.co/Fqu1Ct5dj7"	F	-
"Despite grossing nearly three quarters of a billion dollars, #NoTimeToDie may lead to MGM losing $100 million.   https://t.co/iTERSvk54K"	B	N
"End of an era 

#NoTimeToDie 
#DanielCraig  
#JamesBond"	R	N
"Time to prepare the 2021 Christmas Special!

Send in your 5 minute (or less) mp3 mini NTTD reviews to thejamesbondc… https://t.co/UrOTiUEt4U"	O	-
"I'm at the cinema to watch #NoTimeToDie ! 

Who has seen it and thoughts? I'll discuss after movie."	R	-
"Bond in suspenders &amp; with a slight belly.

There's hope for us yet.

#NoTimeToDie https://t.co/sMhGtL5xLg"	R	-
"What a way to end Daniel Craig's James Bond. Amazing. 

#NoTimeToDie"	A	P
The new Orlebar Brown mailer has an interview with #NoTimeToDie director Cary Fukunaga https://t.co/aa6IfwDFFf	O	-
@HUBCITYMILLER We are EXACTLY on the same page. I've got #NoTimeToDie at #14 as well. https://t.co/fIAUeJjNMq	R	-
Bond hunting in the woods is quite possibly my favourite sequence from #NoTimeToDie https://t.co/MFz3386icA	R	P
"Now playing ONLY IN THEATERS here at the Auburn Movieplex are #Encanto, #HouseOfGucci and… https://t.co/kWXiNAaP8M"	O	-
"In praise of the costume choices for #DanielCraig in #NoTimeToDie 3/3
• Perhaps most interesting of all, though, ar… https://t.co/5pDMUqt8lt"	A	P
"In praise of the costume choices for #DanielCraig in #NoTimeToDie 2/3
• And when he bows out at the end, he's dress… https://t.co/aZLVRQRX71"	A	P
"In praise of the costume choices for #DanielCraig in #NoTimeToDie 1/3
• When we first see him in the present day,… https://t.co/Hsj6gJt3Gv"	A	P
"#NoTimeToDie - With a total global gross of $734.39m, it has emerged as the top grossing Hollywood film in 2021 til… https://t.co/lybLRXmyIB"	B	P
Thank you so much #DanielCraig ! The energy and strength you bring to @007 is incredible! You and @PierceBrosnan ar… https://t.co/Bc2V5d1ysH	A	P
"When you tell your mom that you broke your buddy's nose at school... 

#DanielCraig #NoTimeToDie #RamiMalek https://t.co/Ssl3j2h1XA"	O	-
"#NoTimeToDie collected an overall figure of $730 million in global ticket sales, making it the year’s highest-gross… https://t.co/3ZqWf7o97y"	B	P
"Audiences ain’t afraid of no nostalgia bait, King Richard hits the net, and Other News, in our weekly BOX OFFICE RE… https://t.co/ZylsT683Mb"	B	-
I need a car like for James in #NoTimeToDie 🔥	R	P
Miller's Ranking #NoTimeToDie sits at #14 https://t.co/oqWYgixOLY	R	P
"Just watched the new #JamesBond

The film is brilliant. The direction and cinematography - incredible. Daniel Craig… https://t.co/P53FgnpBQ0"	R	P
"James Bond ready...! #ISAIDIT 😜
#JAMESBOND #007 #NOTIMETODIE https://t.co/y4I0XLlDfm"	O	P
Where do you have #NoTimeToDie in your ALL-TIME #JamesBond rankings	R	P
One of the screen graphics I designed for #NoTimeToDie  That's some of my actual DNA in raw data format including s… https://t.co/ujFv0dyBzv	O	P
"#NoTimeToDie  is an entertaining movie.
It has everything you’d expect from a bond movie, neat performances, stunni… https://t.co/P23bURMftn"	R	P
"So we are going to have a new 007, unless he took those missiles like he took that C4 in the begging of the movie.
#NoTimeToDie"	R	-
"- No Time to Die (2021)
Director: Cary Joji Fukunaga
.
.
#notimetodie #hollywood #hollywoodmovie #hollywoodmovies… https://t.co/e2paBEk82Z"	O	-
#NoTimeToDie was a shitty finale to one of the best Bonds in the franchise’s history. Story is weak AF and paper th… https://t.co/Kf1w87Tb8l	R	N
"Time to watch the latest Bond movie: No Time To Die.

I hope it'd be worth it.

#007 #NoTimeToDie #JamesBond"	O	-
"Whether or not #NoTimeToDie is on track to lose $100 million, it’s pretty clear big budget films are at high risk o… https://t.co/1zDpSYWNwQ"	B	-
Also in Germany #notimetodie is going to be available via Amazon Prime very soon. Home release start is scheduled h… https://t.co/KIuZ7GAwVB	O	-
"One more artwork of Safin because I just couldnt help it! 
I Love this character! &lt;3 

#lyutsifersafin #NoTimeToDie… https://t.co/bveUBHnxww"	F	P
Movie premiere let's goo~ 🍿 #NoTimeToDie #JamesBond https://t.co/9aFkn355jf	R	P
"No time to waste! You've got one last chance to win a piece of the #NoTimeToDie film set. To enter, share your best… https://t.co/7ApGklynem"	O	-
"UK #BoxOffice : 19-21 Nov '21

- #NoTimetoDie is now the 4th highest-grossing film release in UKBO history, surpass… https://t.co/rtaMEZacpx"	B	P
Need a new episode of a podcast to listen to on this Holiday week? We got you! Listen to the latest episode of The… https://t.co/Ay3wmz0dPj	F	-
Need a new episode of a podcast to listen to on this Holiday week? We got you! Listen to the latest episode of The… https://t.co/CEdvjR6EBj	F	-
Ok I’m going to stick my neck out and say I think Daniel Craig has done a huge disservice to a franchise i have liv… https://t.co/ydVUdilsXN	A	P
